"","ctl-treatA_MaxVal","ctl-treatB_MaxVal","treatA-treatB_MaxVal","ctl-treatA_MaxTime","ctl-treatB_MaxTime","treatA-treatB_MaxTime"
"PF3D7_0201500",-0.138881425774645,-0.354037326500394,-0.215155900725749,"ring","ring","ring"
"PF3D7_0201600",-0.280919402773291,-0.44957944650843,-0.303954546527636,"ring-ring","ring","ring"
"PF3D7_0201700",0.383923259069877,0.435349867325996,0.201007345116269,"ring","ring","ring"
"PF3D7_0201800",-0.190529633583962,0.23091868580223,0.421448319386192,"ring","ring","ring"
"PF3D7_0201900",-1.31941461280844,-1.94216377057127,-0.888863299421826,"ring","ring","ring"
"PF3D7_0202000",-0.522372577559701,-1.32651378618306,-1.58913980763802,"ring","ring","ring"
"PF3D7_0202100",-1.03824072505528,-0.262343681868944,1.16171339954581,"ring","ring-ring","ring"
"PF3D7_0202200",-0.775813266365751,-0.101455356175366,0.71327542716235,"ring","ring-ring","ring"
"PF3D7_0202300",-0.181734404785946,-0.217421217370614,0.269330633128006,"ring-ring","ring","ring"
"PF3D7_0202400",0.493744786165493,-0.770083083388808,-1.02471016814078,"ring","ring","ring"
"PF3D7_0202500",0.268241513454808,0.516069275065347,0.277382123198183,"ring","ring","ring-ring"
"PF3D7_0202600",0.106361141198273,-0.0765985495932369,-0.122923656091952,"ring","ring","ring-ring"
"PF3D7_0202700",0.747124310862504,0.197658997353183,-0.549465313509321,"ring","ring","ring"
"PF3D7_0202800",-0.670959685279413,0.253705191861207,0.728373331239923,"ring","ring-ring","ring"
"PF3D7_0203000",-0.269897820053507,0.26679448470701,0.536692304760517,"ring","ring","ring"
"PF3D7_0203100",-0.392120166915479,-0.113944022320296,0.278176144595184,"ring","ring","ring"
"PF3D7_0203200",0.175891672080919,-0.409038638236888,-0.342582329384325,"ring","ring","ring"
"PF3D7_0203300",0.25934344391655,0.549994034286422,0.290650590369872,"ring","ring","ring"
"PF3D7_0203400",-0.707647890587798,0.0676188025875151,0.775266693175313,"ring","ring","ring"
"PF3D7_0203500",-1.75121827908992,-0.834631953441351,1.12020101805692,"ring","ring","ring"
"PF3D7_0203600",-1.127478487349,-0.669553741818875,0.780949215084971,"ring","ring","ring"
